llm_name,sentence,n_items,spearman_rho
GPT-2,The metalworker cut the steel using his,23,0.08890964612144278
GPT-2,"After college, the student had amassed a lot of",13,-0.028557185907942508
GPT-2,"At the farm, Samuel happily played with the baby",25,0.18172215465530797
GPT-2,"Ethan used his pen to draw a small, dark",28,0.06553948673986902
GPT-2,Karen's son started crying when he needed to,16,0.49752515135977404
GPT-2,Jaden was surprised that the wax figures weren't,15,0.31009372684385217
GPT-2,"Each morning, Sandra spontaneously decides what to",5,0.051298917604257706
GPT-2,The fans cheered when the baseball player went to,28,-0.35412873803450456
GPT-2,"Due to the leaky bottle, syrup slowly began to",19,0.21936022435345925
GPT-2,"Dirty and worn, the rain boots were covered in",7,-0.044543540318737404
GPT-2,The principal sat the prankster down and began to,20,-0.049331248066376815
GPT-2,Bailey easily finished the race and placed as,12,0.08582360021722865
GPT-2,The troubled boy decided to join the neighborhood,9,0.41962716370814124
GPT-2,The student was unhappy when he was,47,0.10172027497820021
GPT-2,After missing lunch Harry badly needed some,12,0.20237776555536413
GPT-2,"The cookies were cold, so Luke made a fresh",3,-1.0
GPT-2,"When the runner finished, the crowd let out a",8,-0.38054717750868317
GPT-2,"To enter the building, you must show your",7,0.37062465833055064
GPT-2,The hunters were happy when they reached the,46,0.08871087358595595
GPT-2,To hold their items they needed a large,14,0.09623060129799979
GPT-2,There was not room for the triplets in the,23,0.04601377843749108
GPT-2,The Italian restaurant was his favorite place to,6,0.09240616554505462
GPT-2,The marathon runners struggled through the last,11,0.4543643345863279
GPT-2,"The child wanted a cat, but instead received a",15,0.5427324032203498
GPT-2,Today the cheer squad really needed more,21,0.13143395264824909
GPT-2,A pirate's favorite alcoholic drink is aged,18,0.21939546392898918
GPT-2,Singing to the baby is an effective way to,23,0.12487213212003886
GPT-2,Chuck preferred conversing with the kids than with the,7,0.26839443571454613
GPT-2,A black European crow is sometimes called a,26,0.4369123642301559
GPT-2,My mother always kept everything very,12,0.405272700439086
GPT-2,Jason fell off his skateboard when he hit the,21,0.10582000163052668
GPT-2,Brad's family missed him after he was gone a,14,0.33632063895027825
GPT-2,In the forest they saw a majestic,26,-0.006229880730324309
GPT-2,They did the lice treatment but they missed a,19,-0.21791658413996812
GPT-2,"After Amy lost her keys, she started to",15,0.25996516949244247
GPT-2,The hikers peeked over the edge into the great,25,0.21949665688898787
GPT-2,"In the front lawn, Irvin planted a big, green",15,-0.03417235766682659
GPT-2,The potatoes were seasoned with flakes of rosemary and,17,0.028868962884126964
GPT-2,People talking too loudly had always been Lawrence's,26,0.12511386563668092
GPT-2,Jacob went to buy a gallon of,7,0.32081182634096883
GPT-2,"During recess, the elementary students liked to",13,0.4178457315965663
GPT-2,The medicine didn't work so he needed another,20,0.6096272092832631
GPT-2,The villain of the tale was a sneaky,36,0.44332913805828944
GPT-2,They hadn't been seen since they departed in the,34,0.11614693697313173
GPT-2,The baby was cranky when she didn't,11,-0.005014122105639003
GPT-2,"As the toddler bot older, she struggled to",24,0.040595428520300784
GPT-2,"After Grace slipped on the floor, she bought a",7,0.29649972666444047
GPT-2,The sailor secured the boat with a,10,0.16877967090955112
GPT-2,Derek planned to lift weights every day to get,11,0.011709633984857153
GPT-2,Pam needs a new doorbell because hers doesn't,4,0.21081851067789195
GPT-2,Karen realized she had stepped in a pile of,20,0.4936416352996211
GPT-2,The dog was lonely without companions and started to,13,0.2419893433672216
GPT-2,To color the shirt red use vinegar and,21,-0.024317168087375867
GPT-2,The burglar had hidden all the items in a,31,0.03614399192937439
GPT-2,They knew he was a monk because of his,22,0.6941608540671395
GPT-2,All the professional athlete wanted was a back,19,-0.11603454390225923
GPT-2,Ryan was too prideful to decline his friend's,17,0.05616820728732914
GPT-2,In the evening grandpa smokes using his,4,0.7745966692414834
GPT-2,The thirsty children asked their mother to buy some,12,0.33869437935130253
GPT-2,The comedian was a master of the,34,0.47161205802336054
GPT-2,The first animal sound Jackie learned was for a,20,0.5048998169848461
GPT-2,Use tools to remove the lid from a tin,6,0.7944613465542746
GPT-2,The carpenter entered the store to buy a new,12,-0.3832918048229757
GPT-2,The family realized their safe was stolen by a,14,0.5545939882337511
GPT-2,Abby was always full of enthusiasm and,23,0.24598195112200552
GPT-2,The athlete left the game because he broke a,17,0.18808841067199902
GPT-2,That boy is always saying he'll someday be,28,0.5507674303010317
GPT-2,Grace always knew when her sister was telling a,4,-0.39999999999999997
GPT-2,Some people dislike grilled meat because of its,20,0.5670711219662777
GPT-2,There was nothing to do once the fuse was,18,0.4291012847756015
GPT-2,The movie director was not pleased with one,15,0.10056545799196717
GPT-2,Alice tested the cake's temperature with a gentle,20,0.10982769229148757
GPT-2,"For the client dinner, the company will pay the",12,-0.3831122083231863
GPT-2,"Michelle pestered Chris about his secret, but he wouldn't",9,-0.004292834029074432
GPT-2,"With a six hour layover, Claire had time to",19,-0.001375857311550363
GPT-2,"After swallowing too quickly, Simon began to",5,0.6
GPT-2,The officer barged in and quickly flashed his,7,0.3761626197515066
GPT-2,The complicated dish required several hours to,12,0.6150446024510123
GPT-2,"Once he heard the bad news, Mark's face became",32,0.3740533188431558
GPT-2,"During her allergic reaction, Anne noticed she had a",16,0.08696681071627131
GPT-2,The famous actress worked hard to be in,24,0.5445469266381738
GPT-2,Shay was confident about her body except for her,29,0.14170273408091794
GPT-2,The fraying rope lay on the ground in a,16,0.012338980994941573
GPT-2,"While on vacation, Greg didn't expect his plants to",12,0.262171171741984
GPT-2,"An independent woman, Rae wanted to make her own",27,0.263431146834687
GPT-2,Sara made her bed because her mom said she,14,0.36315368236454015
GPT-2,The ceremony was what changed the boy into a,7,0.3370999312316211
GPT-2,The pregnant woman moved in a waddling,16,0.09660144044057346
GPT-2,"After the mother left, the baby began to loudly",7,-0.571380044523348
GPT-2,He had trouble getting the bike onto the,24,0.018054811711393056
GPT-2,"After the storm, Patrick had to replace his",36,-0.0417397359316949
GPT-2,The boy's mother cried as her son left for,7,0.33968311024337877
GPT-2,The lonely stallion needed the company of a,14,-0.013041526527893957
GPT-2,The woman walked across the street with great,37,0.16929729330479443
GPT-2,The bartender never filled a glass to the,5,0.35909242322980395
GPT-2,"During winter, the snow completely covered the street",32,0.0733828527795078
GPT-2,"At the medieval fair, visitors heard music from the",38,0.09523185315685688
GPT-2,Clarence's marriage ceremony was at a beautiful,27,0.01045832497901043
GPT-2,She wasn't certain she'd find him but she would,10,0.40388580233669574
GPT-2,The kids' choreographed dance was a cute little,28,-0.14345760793336979
GPT-2,The unmarried man lived in a bachelor,7,-0.41194292043554975
GPT-2,The hikers waited out the rain inside a cozy,21,0.43997021986241036
GPT-2,The boy cried when he hurt his knee after the,10,0.4907205783809271
GPT-2,"After three weeks, there was a pile of dirty clothes to",5,0.5642880936468347
GPT-2,The daughter felt guilty after telling her parents a,5,-0.9746794344808963
GPT-2,Bill argued the best mountain view was at the,21,0.3820456489911046
GPT-2,Holly was disappointed that her pants no longer,7,0.8017837257372733
GPT-2,He cut the grain and tied it into a,20,-0.24051349047842024
GPT-2,Kennedy told her mom she felt stuck in a,12,-0.2718549419985796
GPT-2,The peaches at the orchard are almost ready to,4,0.6000000000000001
GPT-2,Nobody there could undo such a tight,14,0.24299329979045345
GPT-2,Colten said the suitcase felt like it weighed a,3,1.0
GPT-2,Delia needed her keys and rummaged around in her,9,0.6472607981953666
GPT-2,The little girl thought that the brussel sprouts were,28,0.060891055881886716
GPT-2,When she lost her doll the girl began to,8,-0.15953622544399018
GPT-2,Some animals carry their offspring in their,6,0.09240616554505462
GPT-2,"After growing out his beard, Nate decided to",9,0.09128709291752768
GPT-2,The black bug turned out to be a harmless,15,0.6549036007784041
GPT-2,The boy unwrapped the lollipop and started to,11,0.4463036991443367
GPT-2,"After lifting weights, Lucas' muscles were extremely",17,0.10005560189476051
GPT-2,Jerry didn't like the candy because it was too,10,-0.4115947128265476
GPT-2,Annie left when her date said he liked to,41,0.31312298819869555
GPT-2,Barb pulled her sleeve back to reveal a big,14,0.17020991216931933
GPT-2,Molly hoped that the kids wouldn't make a,8,0.049386479832479485
GPT-2,Melissa's new shoes gave her a painful,21,0.18621772859141045
GPT-2,Instead of choosing one dog Mark adopted,11,0.5646055568721082
GPT-2,Melanie's favorite part of the house decor was the,45,0.3195293345102291
GPT-2,They needed to add more honey to the,26,0.1518354031830902
GPT-2,The class bully called the younger children,32,0.17562111942427197
GPT-2,He slept quite deeply and was almost impossible to,6,0.5768179036829705
GPT-2,The political boss gave him some cash as a,13,0.5916250795248494
GPT-2,Connor was hungry from his trip and excited to,12,0.5037219325768133
GPT-2,The friends aren't currently speaking because of their,16,-0.1902304065420398
GPT-2,The young girl screamed after she saw the large,26,-0.09966302369147859
GPT-2,Jerry went to the butcher to buy a fresh,23,0.6566728737636823
GPT-2,"Because Sam won't share with Lucy, the siblings are always in a",16,-0.014632572831496037
GPT-2,The toddler joined the puppy in playing,13,0.2147890441065519
GPT-2,The only side that was damaged was the car's,19,-0.19923780569811875
GPT-2,The hungry baby scrunched its face and started to,16,0.12986639250970544
GPT-2,The washing machine destroyed the old jacket's,24,0.4773513218976606
GPT-2,Albert lived in a thatched hut that he,6,-0.06160411036336975
GPT-2,Dennis looked sweet but really he was a,29,0.16052969883461765
GPT-2,They were lost in the woods and needed a,20,-0.15656264273450365
GPT-2,Nancy was so angry that she began to,15,-0.4278138695504199
GPT-2,Scott purchased an antique pen with a fancy,23,0.19319016080689602
GPT-2,"Every time the nervous archer shot, she would",32,0.0669334953775806
GPT-2,Evelyn wanted to purchase a house right by the,13,-0.12202935738775073
GPT-2,Karla had played the game and knew how to,6,0.058848988633649964
GPT-2,The crazy old lady was thought of as a,30,0.05765907852492605
GPT-2,The chef went to the spice market to buy,30,0.3225413637251631
GPT-2,Owen's students quieted down when he began to,16,0.15922192846414165
GPT-2,The woman's earring was a small silver,25,0.1755696769198418
GPT-2,"Unfortunately, the boat had severe damage to the",18,0.2591657500271028
GPT-2,"Many fruit-lovers enjoy the taste of the soft, pear-shaped",30,0.35756022557250217
GPT-2,"At first, the junior cook's only job was to",24,0.3168194909923371
GPT-2,She couldn't fall asleep so she took a,15,0.22518855899510562
GPT-2,"Upset and frustrated, Megan called the embezzler a",22,0.4828315062028974
GPT-2,"An ambitious man, Garrett started his own consulting",7,0.4473240595242436
GPT-2,Her left hand was freezing after she lost her,7,-0.08989331499509895
GPT-2,"Always calm and collected, Ruth was difficult to",34,-0.007956198606292387
GPT-2,The excited singer said it was a lucrative,15,0.25192647332231455
GPT-2,The old man always said that his childhood was,43,0.2703385228401547
GPT-2,Lynn scoffed at the idea because it was so,40,0.438641091036683
GPT-2,He spent years there exploring and making a,28,0.3076412067108439
GPT-2,The toddler cheerfully sat in the dirt and,7,0.16840826742715195
GPT-2,"On his lunch break, the lunch-owner put up a",10,0.2932985981477645
GPT-2,The girl wore the handmade sweater that her grandma,4,-0.39999999999999997
GPT-2,Joe was frustrated because his jacket would not,10,0.1179617286478382
GPT-2,The chef put the cake in the oven to,4,0.9486832980505139
GPT-2,"Oliver thought driving was hard, especially how to",15,0.21997427302460365
GPT-2,The farmer made money from selling his,28,0.7372943715719275
GPT-2,"While camping, the child slept on an uncomfortable",20,0.1777407307614133
GPT-2,The teenager was nervous about having to,20,0.257016772117835
GPT-2,Bethany always struggled to make her suitcase,13,0.4417740134930213
GPT-2,"After getting hit by the ball, Tyler started to",16,0.18741800123407543
GPT-2,The new couple did a good job decorating the,15,0.1162123588045848
GPT-2,The toddler covered the walls with her mother's,19,0.013062907412547108
GPT-2,The couple's trip was ruined when it began to,5,0.9999999999999999
GPT-2,"After washing his hands, Brandon dried them with a",3,-0.5
GPT-2,"When the President speaks, he does so with great",40,0.35487280887940725
GPT-2,His father told him a story about a brave,20,0.07512693952047153
GPT-2,Timmy wore the bandana so long he got a,25,-0.07262683167501569
GPT-2,Many restaurant tables can seat parties of at least,10,-0.2453463475312269
GPT-2,"Last weekend, Janet bought new pants that were",43,0.19868174756197468
GPT-2,The passenger kept yelling at the driver to turn,3,-0.5
GPT-2,"At the petting zoo, the boy cried after being",22,0.2093212331429174
GPT-2,The math student finished the big project that was,13,-0.11067775051892911
GPT-2,The car door hit Steven's face right in the,13,0.2655462588944812
GPT-2,Cam found the cleaning supplies and reached for the,19,-0.004196280759440805
GPT-2,The aggressive mob's loud chants were filled with,22,0.19962432249521592
GPT-2,His mother said the stress was too much to,8,-0.22086305214969307
GPT-2,"Heartbroken, Toby claimed no one could fill the",19,-0.07360235531305562
GPT-2,The poor boy stored his earnings in a metal,12,0.12966272673799176
GPT-2,She said the cause of the disease was a,28,0.26605732210972555
GPT-2,Sheldon returned from the mall with clothes that he,11,0.6701872450265123
GPT-2,The hiker was unaware that he had walked so,7,0.222717701593687
GPT-2,He knew about the prank they were trying to,11,0.1801622190285675
GPT-2,Grandmother baked a pie and set it on the,10,-0.5600238595129265
GPT-2,For a small horse she has a very long,12,0.8212681460112211
GPT-2,"Many spectators loudly jeered, but one began to",15,-0.12385234918167635
GPT-2,"To promote sinus health, Pam used a saline nasal",14,0.2856804544040584
GPT-2,The young woman had a very recognizable,17,0.3647686087081853
GPT-2,"After losing his life savings, Leo's expression was",36,0.04570981892273766
GPT-2,The priest worked hard to help Cameron find,25,0.16001125485025644
GPT-2,"At odds with the referee, Kyle was easy to",36,0.09215351029138243
GPT-2,Long hair can easily get tangled in an earring,18,0.48066136836041856
GPT-2,After years of feeling lost she finally found her,29,0.25026483310886366
GPT-2,The critic rejected the steak because it was too,19,0.20468004911011814
GPT-2,The kid received a goldfish as his first,12,0.6477011010636771
GPT-2,The novel had readers intrigued by the opening,15,0.3648556172865295
GPT-2,One cause of diabetes may be drinking too much,13,0.14095123930534167
GPT-2,One may experience trauma after returning from,11,0.15685869807820893
GPT-2,The youngest daughter would get the house and the,14,0.1743290589060827
GPT-2,Every day he poured his drink into the same,7,0.2882999880625789
GPT-2,"To avoid waking the others, only one candle was",4,0.7378647873726218
GPT-2,"At the crowded restaurant, Matt had to",24,0.14145470306222754
GPT-2,The convenience store was robbed by a small,21,0.10471458263117028
GPT-2,They knew it was her party because it was,49,0.025755891675320188
GPT-2,His worst fear was that the spectators would,18,0.09880404403034217
GPT-2,"While her roommate liked clutter, Joy kept her space",8,0.6987951807228915
GPT-2,Nate proclaimed he was lucky that Sarah was his,15,0.271899820736368
GPT-2,The business owner was scared that his business would,10,0.2251873793715377
GPT-2,When Kate eats steak she uses a lot of,12,0.28910394346999996
GPT-2,The officer was told he would lose his,10,0.33614927645316506
GPT-2,The adult went to the store to buy more,39,-0.10021453576364026
GPT-2,The other girls thought that Rebecca was,47,0.065699050922725
GPT-2,"In the wintertime, Pam's mother carves a juicy",14,0.26727170776491066
GPT-2,The kids' favorite type of lunch meat is smoked,12,0.23068679885413224
GPT-2,Terry thought the shirt was bland because it was,20,-0.0019864562673041855
GPT-2,Chris had a thirst which Gatorade could not,6,-0.6642111641550715
GPT-2,"After the thunderstorm, the worms started to",20,0.2126672884515242
GPT-2,Anthony was in a situation where he had no,23,0.1794331431346712
GPT-2,His mom didn't let him out until he was,30,0.2972982655004507
GPT-2,The belt was too small for the customer's,4,-0.05555555555555556
GPT-2,In her garden Amanda grows greens like,25,0.4401899390921099
GPT-2,Mason disliked the movie because he thought it was,31,0.5555011163594468
GPT-2,Sofia liked riding the Ferris wheel at the local,6,-0.23190841426097936
GPT-2,The crystal glass was clean except for the,21,-0.09342779281692869
GPT-2,"The street was flooded, because there was a broken",13,0.24269005847953215
GPT-2,He heard a noise at midnight and grabbed his,9,0.3482914737795206
GPT-2,His mother was so distraught she began to,8,-0.12578865135665693
GPT-2,Amber missed the bus even though she yelled,13,-0.02027258420165648
GPT-2,He claimed that his opponent was as soft as,31,0.016307468373716112
GPT-2,"When the building came down, there was a loud",10,0.338501600193165
GPT-2,"To honor her colleague's death, Kim attended his",3,0.5
GPT-2,She told the bearded boyfriend that he needed to,7,0.4045199174779453
GPT-2,"In terms of responsibilities, Dave was not one to",52,0.0933643432605535
GPT-2,I couldn't hear anything because of the,19,0.26476917229947056
GPT-2,Amelia failed to jump through the narrow,17,-0.14195786054295437
GPT-2,The new accusations cast a lot of,17,0.43760920019566607
GPT-2,On the camping trip Spencer spotted the cutest,23,0.13220935147274515
GPT-2,His sister told him not to ride down the,19,0.1722804214720537
GPT-2,The front door was hidden by an overgrown,13,-0.002853720444825864
GPT-2,Her boots were ruined and she needed a new,14,0.1658714181456376
GPT-2,The restaurant made millions with its famous secret,7,0.32803764365111193
GPT-2,The man introduced himself by stating his,4,0.632455532033676
GPT-2,The sailors gazed into the distance at the beautiful,19,0.2098929992317895
GPT-2,Some people don't enjoy food and only eat to,21,0.32221101831956006
GPT-2,The skilled con artist could make anyone a,24,-0.07437424027356393
GPT-2,Before you take a bath you should clean the,9,0.4564354645876384
GPT-2,At almost every local bar Frank has a,21,0.361611216441752
GPT-2,The old hippy was known for how he shook with,41,0.458568809471605
GPT-2,The storewide clearance event attracted a huge,7,0.8017837257372733
GPT-2,Mateo entered the liquor store to buy bottles of,13,-0.3909364128481778
GPT-2,Fiona couldn't have the bike because it had been,13,0.3022872798825687
GPT-2,A week after the marathon Bailey's legs were still,16,0.306929060291791
GPT-2,"When Sheldon is upset, others can hear his teeth",11,0.25581486467980546
GPT-2,None of the witnesses could describe the suspect's,12,0.06718852840371342
GPT-2,The baker got bored waiting for the pudding to,18,0.1189410697131308
GPT-2,Caroline becomes upset when she's told to wait a,11,0.398412749411975
GPT-2,The aroma of sugar cookies filled the,8,0.22985357165507217
GPT-2,"For Eric's baked potato, he needed fresh, green",12,-0.12476795122946507
GPT-2,The strong weightlifter impressed the crowd by lifting a,22,0.4100215320614521
GPT-2,The town was destroyed after someone vandalized the,42,0.12452778920814322
GPT-2,He called home from college saying he'd met a,7,0.5864915447095638
GPT-2,Mary was excited that her Picasso painting was,36,0.09449408338970502
GPT-2,"Instead of the ground, Ben sat on a tatami",19,0.3550237713646188
GPT-2,The city of Chicago is a metropolitan,20,-0.01736048321147037
GPT-2,Natalie's birthday party had a Disney princess,16,0.1400072932794226
GPT-2,"After the clumsy woman fell, the crowd began to",19,0.1703256274739307
GPT-2,"Despite hours of cleaning, the stain stayed on Grace's white",17,0.5930961423051331
GPT-2,Jerry wanted to give the newborn baby its,16,0.08947123613107594
GPT-2,The villain said the townspeople should fear his,23,0.2153769500289084
GPT-2,Marie pulled out the clothes she wanted to,12,0.2279437033032288
GPT-2,"During the violent storm, lightning struck the house's",10,0.14167668282961582
GPT-2,Stella bought the dog when he was a young,5,0.8944271909999159
GPT-2,"During the campfire, the heavy smoke made Lance",16,-0.21530949753414652
GPT-2,While hiking in Canada the couple saw a,10,0.12038394145580049
GPT-2,"An experienced sailor, she knew how to use the",25,0.3433987550006431
GPT-2,The farmer ran out of bacon and slaughtered the,5,-0.5526315789473686
GPT-2,He ran to the water and jumped without a,24,0.0034580737749337676
GPT-2,"The child wouldn't swim, because the pool was too",7,-0.028583097523751475
GPT-2,Dave traveled across the Atlantic Ocean in his new,12,-0.3204151885583862
GPT-2,During the battle all of the sailors fled the,20,-0.3635285415973651
GPT-2,The dish was very dry because it lacked,23,0.06331713354615333
GPT-2,The babies were irritated and difficult to,18,-0.0379227934710313
GPT-2,Before descending the canyon we hiked the,16,0.3158214073800244
GPT-2,"When told he wouldn't walk again, Lewis still had",13,-0.29223117963499456
GPT-2,"After eating one cookie, the child finished the entire",14,-0.5215543463815275
GPT-2,The teller didn't think the man's money was,14,0.13616608488388648
GPT-2,"After her house was robbed, Doris installed another door",8,0.0581626462428875
GPT-2,She bought the pants only because they were,28,0.3000858431261917
GPT-2,"At around 12 months, children start learning to",10,0.5341964560520189
GPT-2,Kelsey told her date that smoking was her only,20,-0.08501412152389205
GPT-2,A plant's roots can extract nutrients from the,6,-0.2156143862717941
GPT-2,"When Joel twisted his ankle, he began to",21,-0.23262929126525803
GPT-2,The thief drove around looking for a house to,6,-0.21251185925162072
GPT-2,Thomas didn't have a lighter to light the,11,0.15803469187698296
GPT-2,"Every morning, Kate is driven to school by her",10,0.2635252635253953
GPT-2,The waiter was appalled by the customer's,26,0.1904024056340723
GPT-2,No one believed that messiness was Geoffrey's only,15,0.42784584999047165
GPT-2,"Over the summer, the boys went swimming at the",10,0.6544116992819666
GPT-2,The farmer was angry when Eliza called him a,44,0.07573412219055915
GPT-2,Casey had to pay multiple fines according to the,25,0.17171702407805814
GPT-2,The bigger ship had a smaller boat in,16,0.3133028459980777
GPT-2,"At the hospital, Elise was attended to by a",4,0.7378647873726218
GPT-2,"At the luau, the cooks roasted an entire",6,-0.1914854215512676
GPT-2,When Lana finished school she had a lot of,29,0.08437147096989032
GPT-2,Kara asked the kids not to make a,12,-0.2523018123820804
GPT-2,Jessie saw the kid trip and tried not to,15,0.1668334738442516
GPT-2,The state funded the construction of a,24,0.39144162423914963
GPT-2,"After the bathtub overflowed, Lynn used towels to",14,0.4054736996603333
GPT-2,The expectant mother was told she was having a,8,0.1506024096385542
GPT-2,He was fired due to always being a bit,17,0.2605889955800123
GPT-2,They finally solved the case after being given a,11,0.3027309105394937
GPT-2,The actress rolled her eyes and left in a,10,0.39573696328210745
GPT-2,Janice changed her bank password after a security,7,0.16363636363636364
GPT-2,The woman went to the makeup store to buy,15,0.6728671472467646
GPT-2,When Isabella grows up she wants to,31,0.4486928391048881
GPT-2,"The elevator was broken, so Bryce took the stairs",14,0.782893232479517
GPT-2,The door caught the dress and created a huge,9,0.09915266944696804
GPT-2,The ground was bumpy so she wanted a,39,0.17944127463286483
GPT-2,The sight of the vomit caused Courtney to,20,0.2880710584952055
GPT-2,"While concentrating, the accountant always bit her",7,0.6793662204867575
GPT-2,The harsh old principal was known for being,19,-0.0823457384666932
GPT-2,"When the rain started, the hikers ran into a",17,0.317947710079815
GPT-2,The receptionist asked the patient for his,24,0.5627570884149
GPT-2,It was tragic when whales were found on the,6,0.3481553119113956
GPT-2,Imran couldn't understand why everyone was in a,27,0.23489746242278628
GPT-2,The coach told Clara her form was,26,0.5173088036851436
GPT-2,The intricate corn maze required the participants to,27,0.38857743810627204
GPT-2,The college student's favorite activity was to,16,-0.1460516183521798
GPT-2,The patient's condition stemmed from a mutation in a,9,0.14920076931845022
GPT-2,The cruise ship had a water slide on the,9,0.3454937455142388
GPT-2,The basketball team was excited because they won the,11,0.3211778626238476
GPT-2,Mackenzie gushed that her boyfriend was her,31,0.41078326950972727
GPT-2,The guitar player only listens to music if it's,28,0.43052403170922615
GPT-2,The waitress was upset when the customer forgot to,4,0.316227766016838
GPT-2,His mother was furious when she found his,35,0.2641080177061256
GPT-2,"A hasty person, Andre was known for his brisk",24,0.5700429164110297
GPT-2,An ulcer on the skin is a painful,22,0.380277839072436
GPT-2,The competitive students were always afraid to,16,-0.6515425886037755
GPT-2,The bear was peacefully sleeping until it,15,0.38100038100057154
GPT-2,Shawn declined a second serving after eating his,22,0.021144703850019427
GPT-2,Frank read by the fireplace while his grandmother,14,-0.16103914003077296
GPT-2,His aunt always said he was strong like a,10,0.13576671860539952
GPT-2,"No one helped the amputee, all they did was",16,0.4093951837413406
GPT-2,To cross the small stream would only take a,15,0.6945527051363872
GPT-2,Robert reached into the cabinet for a bottle of,23,0.1078449335421701
GPT-2,Jeff felt like he would never finish at that,16,0.46977948338945713
GPT-2,Thomas went to the tailor to fix the,23,0.6107911446372475
GPT-2,With good oranges and lemons you can make delicious,23,-0.03011080478152061
GPT-2,After a bad day Hannah needs some good,30,0.19817560877494214
GPT-2,The nobleman called the suspicious man a,33,0.4515344425216092
GPT-2,The fisherman was interested in buying a new,9,-0.4934544865357162
GPT-2,The penguins enjoyed sliding down the slope of a,16,0.43833666569921714
GPT-2,The knight put his sword into the leather,11,0.5528160168477261
GPT-2,The customer hastily bought a car that cost a,15,0.11053171487084108
GPT-2,"Although he was hungry, Pablo couldn't decide where to",3,1.0
GPT-2,The competition was close and hard to,23,0.38930199467143106
GPT-2,The farm worker collected fresh eggs from the,11,0.5679120418728487
GPT-2,Sam was late to his meeting because the directions were,20,0.5425124061630577
GPT-2,The woman said she couldn't move in this,31,-0.19959549852351138
GPT-2,The chef had already turned the bananas into,19,0.42490160746740163
GPT-2,The chef cut the large tuna in half with one swift,14,-0.016742573042041436
GPT-2,Vince bought a new house that was really,30,0.3646461149036335
GPT-2,Casey didn't go to the movie theater,26,0.5007562714809205
GPT-2,Gabe didn't know which one of his desserts to,21,0.1449373534616454
GPT-2,Her favorite place to snorkel was the secret,15,0.0028176778378700418
GPT-2,Stacy had to pick a number between one and,19,0.24456738666407518
GPT-2,"When the robber trapped Dorothy, she began to",14,0.1656648130718502
GPT-2,They perceived her as simple but her writings were,32,0.27608760955575323
GPT-2,When she was only twenty years old she found,25,0.17380191637731146
GPT-2,Greek-style food often uses a lot of,23,0.09058831848925672
GPT-2,Hank found the kitten in a corner of the,21,0.31871408090026576
GPT-2,The museum had a fossil of an ancient,26,0.2666856826522186
GPT-2,The fashion model was very self-conscious of her,24,0.15620198559911733
GPT-2,Rome was crowded during the election of a new,16,0.5286035885639598
GPT-2,"Annoyed by Brody's loud talking, Brad told him to",11,0.19311620574611524
GPT-2,"When it's warm out, Jack likes going to the",9,-0.03056797704203552
GPT-2,He cleaned off the old silver spoon with his,14,-0.1480234493375921
GPT-2,Jean was impressed the tapestry was made using a,23,-0.1736533783667214
GPT-2,Stacey was humble and attributed her success to,41,0.09220827120136653
GPT-2,Kelly was lost and drove around in a,8,0.28397225903675705
GPT-2,Marco is usually happy with what he,28,0.19182939646007732
GPT-2,Litterers are people that Mason will openly,48,0.47052449063245366
GPT-2,Cecilia's late grandfather left her his old,28,0.10768249689377353
GPT-2,The accident was so bad that he lost a,12,-0.09449111825230681
GPT-2,The company boss was suspicious there was a,33,-0.261294680591928
GPT-2,Mother's beautiful ring was made of real,15,0.1513904824810201
GPT-2,During dinner Tony refused to eat the overcooked,25,0.37585447315073245
GPT-2,"After her car got hit, Chelsea was filled with",20,0.21914880623063288
GPT-2,Rebecca used the string to form a small,21,0.6136091614966002
GPT-2,The baby played with his rubber duck in the,7,-0.09349469900084573
GPT-2,For breakfast he had eggs and a sweet buttered,13,0.5070944984002624
GPT-2,The man underneath the crane operated the,32,0.3054013568299184
GPT-2,The schoolyard bully always chose the same person to,32,0.26446321603729267
GPT-2,"The family enjoyed the zoo, especially the large",20,0.26614600609671135
GPT-2,Jared covered the scratch on his leg with a,7,-0.5467294060851866
GPT-2,Sara couldn't wait for her trip to the,31,0.31571955310958677
GPT-2,"During road construction, workers often use a coat of",16,0.13322033092739835
GPT-2,"When Linda had trouble sleeping, she would constantly",34,0.3995100164938812
GPT-2,"When it rained, the tiny dog was crippled by",13,0.5363650349070828
GPT-2,Madison found preparing corn tedious due to the,40,-0.05898505262523688
GPT-2,The child was headstrong and not easy to,30,0.23402988078651626
GPT-2,The fancy house had an entrance with a,37,-0.20450392963419767
GPT-2,The blood drive had many volunteers willing to,8,0.2721518987341772
GPT-2,Spirits play crucial roles in Native American,22,0.10236768423301056
GPT-2,His mother silenced him to avoid a,19,0.16256362769345897
GPT-2,Kyle carefully scooped the honey out of the,8,0.2729345035777691
GPT-2,Rachel liked to gift others with handmade hats she,12,0.2202682857108822
GPT-2,On the choppy water the sailors scrambled to,40,0.11814868993703632
GPT-2,"When travelling, tourists like to carry items in a",12,0.3335331361497869
GPT-2,The girl had yellow eyes like those of a,29,0.39255245063614075
GPT-2,"After nine months, the baby exited the",11,0.25776963111323353
GPT-2,The cowboy enjoyed looking into the distance at the,30,0.10018631697465365
GPT-2,I thought there would be long lines but there were,9,-0.2658425641381813
GPT-2,Jen didn't expect Sal's house to be so,30,0.14615569182141716
GPT-2,The wine stain required Kathryn to carefully,30,0.41229774280729037
